InterPro Entry Accession	InterPro Entry Name	InterPro Entry Type
IPR009120	Peptidase A1, beta-site APP cleaving enzyme 1, BACE 1	Family
IPR009121	Peptidase A1, beta-site APP cleaving enzyme 2, BACE 2	Family
IPR009122	Desmosomal cadherin	Family
IPR009123	Desmoglein	Family
IPR009124	Cadherin/Desmocollin	Family
IPR009125	DAPIT	Family
IPR009126	Cholecystokinin receptor	Family
IPR023563	Ribosomal protein L13, conserved site	Conserved_site
IPR023564	Ribosomal protein L13 domain	Domain
IPR023569	Prokineticin domain	Domain
IPR009132	Trace amine receptor	Family
IPR009133	Trace amine receptor 1	Family
IPR009135	Vascular endothelial growth factor receptor 1 (VEGFR1)	Family
IPR009136	Vascular endothelial growth factor receptor 2 (VEGFR2)	Family
IPR009137	Vascular endothelial growth factor receptor 3 (VEGFR3)	Family
IPR009138	Neural cell adhesion	Family
IPR009139	Wnt-1 protein	Family
IPR009140	Wnt-2 protein	Family
IPR009141	Wnt-3 protein	Family
IPR009142	Wnt-4 protein	Family
IPR009143	Wnt-6 protein	Family
IPR009144	Thyrotropin-releasing hormone receptor family	Family
IPR009145	U2 auxiliary factor small subunit	Family
IPR009146	Groucho/transducin-like enhancer	Family
IPR009147	Cystic fibrosis transmembrane conductance regulator	Family
IPR009148	Streptococcal non-M secreted SibA	Family
IPR009149	BR22	Family
IPR009150	Neuropeptide B/W receptor family	Family
IPR009151	Basigin	Family
IPR011064	Mechanosensitive ion channel MscS, transmembrane-1	Domain
IPR011065	Kunitz inhibitor ST1-like	Domain
IPR011066	Mechanosensitive ion channel MscS, C-terminal	Domain
IPR011067	Plasmid maintenance toxin/Cell growth inhibitor	Domain
IPR011068	Nucleotidyltransferase, class I, C-terminal-like	Domain
IPR011070	Globular protein, non-globular alpha/beta subunit	Domain
IPR011071	Polysaccharide lyase family 8-like, C-terminal	Domain
IPR011072	HR1 rho-binding repeat	Repeat
IPR011074	CRAL/TRIO, N-terminal domain	Domain
IPR011307	Tetrahydromethanopterin S-methyltransferase, subunit F	Family
IPR011308	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaD	Family
IPR023716	Proline-tRNA ligase, class IIa, type 2	Family
IPR011310	Lipopolysaccharide core heptose(II)-phosphate phosphatase	Family
IPR011311	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaG	Family
IPR011312	Uncharacterised conserved protein UCP019164, methanogenesis	Family
IPR011313	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaF	Family
IPR011314	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaB	Family
IPR011315	NTP pyrophosphohydrolase MazG-related, Rhizobiaceae-type	Family
IPR011316	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaC	Family
IPR011317	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaE	Family
IPR011318	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaI	Family
IPR011319	Predicted [NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaK	Family
IPR011579	ATPase domain, prokaryote	Domain
IPR011599	Prefoldin alpha subunit	Family
IPR011601	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal	Domain
IPR011613	Glycoside hydrolase family 15	Family
IPR011768	Translation elongation factor P	Family
IPR012002	Desulforedoxin	Family
IPR012003	ATP-dependent phosphofructokinase, prokaryotic	Family
IPR012004	Pyrophosphate-dependent phosphofructokinase TP0108	Family
IPR023717	Prolyl-tRNA synthetase, class IIa, type 1	Family
IPR012006	tRNA nucleotidyltransferase, proteobacteria	Family
IPR009200	Protein of unknown function DUF1269, membrane associated	Family
IPR009201	Virion core protein, vaccinia E11L type	Family
IPR023732	Ferrous iron transport protein C	Family
IPR009203	Cell wall assembly/cell proliferation-coordinating protein, KNR4	Family
IPR023735	Uncharacterised nudix hydrolase NudL	Family
IPR009205	Predicted archaeal flagellar protein C	Family
IPR009206	Nucleotidase, putative	Family
IPR009207	Histone methyltransferase, PBCV type putative	Family
IPR009208	Mosquitocidal toxin	Family
IPR009209	Epsilon toxin	Family
IPR009210	Predicted eukaryotic LigT	Family
IPR009211	Predicted virulence protein, SciE type	Family
IPR009212	Methylthioribose kinase	Family
IPR023132	Sama2622-like domain	Domain
IPR009214	Protein of unknown function DUF1129	Family
IPR009215	TIM-barrel domain, IGPS-like	Domain
IPR009216	Virulence factor SrfB	Family
IPR009218	Predicted HD phosphohydrolase	Family
IPR009219	Bacteriophytochrome, CheY-like	Family
IPR009220	Probable bifunctional tRNA threonylcarbamoyladenosine biosynthesis protein/protein kinase	Family
IPR009221	Adenosylcobalamin biosynthesis, ATP:cob(I)alamin adenosyltransferase, bifunctional PduO	Family
IPR023737	Spermidine export protein MdtI	Family
IPR010919	SAND domain-like	Domain
IPR010920	Like-Sm (LSM) domain	Domain
IPR010921	Trp repressor/replication initiator	Domain
IPR012644	Conserved hypothetical protein CHP02300, FYDLN acid	Family
IPR011258	BPG-independent PGAM, N-terminal	Domain
IPR011134	Allophycocyanin linker protein	Family
IPR023740	Spermidine export protein MdtJ	Family
IPR011540	AbgT putative transporter, subfamily	Family
IPR011551	NTP pyrophosphohydrolase MazG, bacterial	Domain
IPR011576	Pyridoxamine 5'-phosphate oxidase-like, FMN-binding domain	Domain
IPR011583	Chitinase II	Domain
IPR011619	Ferrous iron transport protein B, N-terminal	Domain
IPR011994	Cytidylate kinase domain	Domain
IPR012280	Semialdehyde dehydrogenase, dimerisation domain	Domain
IPR012645	Conserved hypothetical protein CHP02301	Family
IPR012646	RNA ligase, DRB0094	Family
IPR012647	RNA ligase, Rnl2	Family
IPR012648	Bacteriophage T4, Rnl1, RNA ligase	Family
IPR012649	Phosphonopyruvate hydrolase	Family
IPR012650	Conserved hypothetical protein CHP02328	Family
IPR012651	Thiamine transporter ThiT/YuaJ	Family
IPR012652	ThiW	Family
IPR012653	Dimethylamine:corrinoid methyltransferase	Family
IPR012654	Conserved hypothetical protein CHP02391	Domain
IPR012655	Uncharacterised protein YrzI	Family
IPR012656	Conserved hypothetical protein CHP02421, QEGLA	Family
IPR012657	23S rRNA-intervening sequence protein	Family
IPR012658	Conserved hypothetical protein CHP02443	Family
IPR012659	Conserved hypothetical protein CHP02444	Family
IPR012660	Thioesterase, putative	Domain
IPR012661	Conserved hypothetical protein CHP02448	Family
IPR012662	Conserved hypothetical protein CHP02449	Family
IPR012663	Conserved hypothetical protein CHP02450, tryptophan-rich	Family
IPR012664	Conserved hypothetical protein CHP02452	Family
IPR012665	Trehalose synthase	Family
IPR012666	Cobalt transporter subunit CbtA, putative	Family
IPR023741	Lipoate-protein ligase A	Family
IPR011204	Virulence protein RhuM-like	Family
IPR011205	Uncharacterised conserved protein UCP015417, vWA	Family
IPR011206	Citrate lyase, beta subunit	Family
IPR011207	Orthopoxvirus F1	Family
IPR023742	Iron-sulfur cluster repair protein YftE	Family
IPR011211	Tumour suppressor protein Gltscr2	Family
IPR011212	Poxvirus B15/B22/C16	Family
IPR011213	Nicotinic acid mononucleotide biosynthesis protein	Family
IPR011214	Uncharacterised conserved protein UCP020967	Family
IPR011215	Phosphoribosyl transferase	Family
IPR023746	Transcription regulator HTH, YidZ	Family
IPR011217	Streptogramin lyase	Family
IPR011218	Insecticidal delta endotoxin	Family
IPR011219	Rubisco-cytochrome methylase MET	Family
IPR011220	Uncharacterised conserved protein UCP028205	Family
IPR023750	D-ribose pyranase RbsD-like	Domain
IPR011339	ISC system FeS cluster assembly, IscU scaffold	Family
IPR011223	Uncharacterised conserved protein UCP028770	Family
IPR011224	Ribosomal RNA large subunit methyltransferase M	Family
IPR011225	Type IV secretory pathway, VirJ component	Family
IPR011226	Uncharacterised conserved protein UCP029120	Family
IPR011227	Uncharacterised conserved protein UCP029730	Family
IPR011228	Uncharacterised conserved protein UCP029766	Family
IPR011229	Cell cycle protein GpsB	Family
IPR011230	Phosphoesterase At2g46880	Family
IPR011231	Bacteriophage VT1-Sakai, H0018	Family
IPR023751	L-fucose mutarotase	Family
IPR023714	Zinc transport protein ZntB	Family
IPR014494	Predicted Fe-S oxidoreductase, NifB/MoaA-like family, euryarchaeota type	Family
IPR014495	Uncharacterised conserved protein UCP018671	Family
IPR014496	Uncharacterised conserved protein UCP018863	Family
IPR014497	Methylmalonyl-CoA decarboxylase, delta subunit	Family
IPR023618	Photosystem I PsaG/PsaK domain	Domain
IPR014499	Uncharacterised conserved protein UCP019073	Family
IPR014500	Uncharacterised conserved protein UCP019307, cupin-type	Family
IPR014501	Uncharacterised conserved protein UCP019317	Family
IPR024704	Structural maintenance of chromosomes protein	Family
IPR014503	Non-heme iron, alpha-ketoglutarate-dependent oxygenase, clavaminate synthase type	Family
IPR013497	DNA topoisomerase, type IA, central	Domain
IPR013498	DNA topoisomerase, type IA, zn finger	Domain
IPR014348	Cobalamin (vitamin B12)-dependent enzyme, catalytic subdomain	Domain
IPR013766	Thioredoxin domain	Domain
IPR013800	STAT transcription factor, all-alpha	Domain
IPR013999	HAS subgroup	Domain
IPR014214	Dipicolinic acid synthetase, subunit B	Family
IPR014215	Dipicolinic acid synthetase, subunit A	Family
IPR014216	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD	Family
IPR014217	Sporulation stage III, protein AA	Family
IPR014218	RNA polymerase sigma-H type	Family
IPR014219	Peptidase S55, sporulation stage IV, protein B	Family
IPR014220	Small acid-soluble spore protein, SspJ	Family
IPR014221	Sporulation stage II, protein E	Family
IPR014222	Cytochrome c oxidase, subunit II	Domain
IPR014223	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC	Family
IPR014224	Spore cortex-lytic enzyme SleB	Family
IPR014225	Sporulation stage II, protein D firmicutes	Family
IPR014226	Sporulation integral membrane protein YlbJ	Family
IPR014227	Sporulation integral membrane protein YtvI	Family
IPR014228	Sporulation protein, polysaccharide deacetylase, YlxY	Family
IPR014229	Sporulation protein YtfJ	Family
IPR014230	Sporulation protein YhbH	Family
IPR014231	Sporulation protein YpjB	Family
IPR014232	Sporulation stage V, protein K	Family
IPR014233	Cytochrome aa3 quinol oxidase, subunit I	Family
IPR014234	N-acetylmuramoyl-L-alanine amidase CwlD	Family
IPR014235	Delta-lactam-biosynthetic de-N-acetylase	Family
IPR014236	RNA polymerase sigma-F type	Family
IPR014237	Anti-sigma F factor antagonist	Family
IPR014238	Sporulation protein YlmC/YmxH	Family
IPR014239	Spore germination YpeB	Family
IPR014240	Regulatory protein, YteA family	Family
IPR014241	Cytochrome c oxidase, subunit I bacterial type	Family
IPR014242	Spore cortex biosynthesis protein, YabQ	Family
IPR014243	Transcription factor, RsfA	Family
IPR015173	Bacteriophage T4, Gp12	Domain
IPR015174	MIF4G-like, type 2	Domain
IPR021127	CRISPR associated protein Cas2	Family
IPR015176	Lyase, N-terminal	Domain
IPR015177	Lyase, catalytic	Domain
IPR015178	Alpha-amylase/4-alpha-glucanotransferase, central domain	Domain
IPR015179	Alpha-amylase/4-alpha-glucanotransferase, C-terminal	Domain
IPR015180	Bacteriophage T4, Gp27, baseplate hub, C-terminal	Domain
IPR015181	Bacteriophage T4, Gp27, baseplate hub, N-terminal	Domain
IPR015182	Quinohemoprotein amine dehydrogenase, alpha subunit, haem binding domain	Domain
IPR015183	Quinohemoprotein amine dehydrogenase, alpha subunit domain III	Domain
IPR015184	Quinohemoprotein amine dehydrogenase, alpha subunit domain IV	Domain
IPR015185	Exotoxin A, binding	Domain
IPR015186	Exotoxin A, middle domain	Domain
IPR015187	BRCA2, oligonucleotide/oligosaccharide-binding 1	Domain
IPR015188	BRCA2, oligonucleotide/oligosaccharide-binding 3	Domain
IPR015189	Translation elongation factor SelB, winged helix, type 1	Domain
IPR015190	Translation elongation factor SelB, winged helix, type 2	Domain
IPR015191	Translation elongation factor SelB, winged helix, type 3	Domain
IPR015192	Switch protein XOL-1, N-terminal	Domain
IPR015193	Switch protein XOL-1, GHMP-like	Domain
IPR015194	ISWI HAND domain	Domain
IPR015195	SLIDE domain	Domain
IPR015196	Peptide-N-glycosidase F, N-terminal	Domain
IPR015197	Peptide-N-glycosidase F, C-terminal	Domain
IPR015198	Bacteriophage T4, MotA, transcription regulator N-terminal	Domain
IPR015199	DNA polymerase III, delta subunit, C-terminal	Domain
IPR015200	Gp45 sliding clamp, C-terminal	Domain
IPR015201	Antimicrobial protein MiAMP1	Family
IPR015202	Domain of unknown function DUF1929	Domain
IPR015203	SicP binding	Domain
IPR015205	Tower	Domain
IPR015206	Domain of unknown function DUF1930	Domain
IPR015207	Protein of unknown function DUF1931	Family
IPR015208	T4 recombination endonuclease VII, dimerisation	Domain
IPR015209	Cytochrome C oxidase subunit IIa, transmembrane domain	Domain
IPR015210	Type II restriction endonuclease, NaeI	Domain
IPR015211	Peptidase M1, leukotriene A4 hydrolase, aminopeptidase C-terminal	Domain
IPR015212	Regulator of G protein signalling-like fold	Domain
IPR015213	Cholesterol oxidase, substrate-binding	Domain
IPR015214	Delta endotoxin, central domain, subgroup 2	Domain
IPR015215	BmKX domain	Domain
IPR015216	SANT associated	Domain
IPR015217	Invasin, domain 3	Domain
IPR015218	Ribosomal pre-60S maturation factor, Alb1, Saccharomycetales	Family
IPR015219	Glucodextranase B	Domain
IPR015220	Glucodextranase N	Domain
IPR015221	Ubiquitin-related modifier 1	Family
IPR015222	Mitochondrial matrix Mmp37	Family
IPR015223	ATPase MipZ/NubP2/Cfd1	Family
IPR015224	Talin, central	Domain
IPR015225	tRNA pseudouridine synthase II, TruB, subfamily 2, C-terminal	Domain
IPR015226	Type III effector HopF2	Family
IPR015227	Mitogen, Yersinia pseudotuberculosis	Family
IPR015228	Ubiquitin-associated	Domain
IPR015230	Domain of unknown function DUF1933	Domain
IPR015231	Protein of unknown function DUF1934	Family
IPR015232	Domain of unknown function DUF1935	Domain
IPR015233	Orange carotenoid-binding protein, N-terminal	Domain
IPR015234	Domain of unknown function DUF1936	Domain
IPR015235	Domain of unknown function DUF1937	Domain
IPR015236	Domain of unknown function DUF1938	Domain
IPR013022	Xylose isomerase-like, TIM barrel domain	Domain
IPR015423	Influenza matrix M1, N-terminal subdomain 1	Domain
IPR016097	Domain of unknown function DUF695	Domain
IPR016098	Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal	Domain
IPR016099	Prismane-like, alpha/beta-sandwich	Domain
IPR007508	D-aminoacyl-tRNA deacylase	Family
IPR007509	Protein of unknown function DUF515	Family
IPR007511	Protein of unknown function DUF501	Family
IPR007512	Protein of unknown function DUF543	Family
IPR007513	Uncharacterised protein family SERF	Family
IPR007515	Mss4	Family
IPR007516	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, N-terminal	Domain
IPR007517	Rad50 zinc hook	Domain
IPR007518	Protein of unknown function DUF544	Family
IPR007519	Bul1, N-terminal	Domain
IPR007520	Bul1, budding yeast, C-terminal	Domain
IPR007521	Choline kinase, N-terminal	Domain
IPR007522	CRISPR-associated protein TM1795	Family
IPR007523	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	Family
IPR007524	Pectate lyase, N-terminal	Domain
IPR007525	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, C-terminal	Domain
IPR007526	SWIRM domain	Domain
IPR007527	Zinc finger, SWIM-type	Domain
IPR007528	RINT-1/TIP-1	Family
IPR007529	Zinc finger, HIT-type	Domain
IPR007530	Aminoglycoside 6-adenylyltransferase	Family
IPR007531	Dysbindin	Family
IPR007532	Poxvirus early transcription factor, large subunit	Family
IPR007533	Cytochrome c oxidase assembly protein CtaG/Cox11	Family
IPR007534	Acyl-protein synthetase, LuxE	Domain
IPR007535	Catechol dioxygenase, N-terminal	Domain
IPR007536	Ribosomal RNA small subunit methyltransferase J	Family
IPR007537	tRNAHis guanylyltransferase Thg1	Family
IPR007538	Domain of unknown function DUF550	Domain
IPR007539	Domain of unknown function DUF551	Domain
IPR007540	Fimbrial major subunit, CS1-type	Family
IPR007541	Uncharacterised protein family, basic secretory protein	Family
IPR007542	Virus, major capsid protein, C-terminal	Domain
IPR007543	Organic solvent tolerance protein, C-terminal	Domain
IPR010114	Signal transduction response regulator, nitrogen regulation NR(I)	Family
IPR010115	LPPG:Fo 2-phospho-L-lactate transferase	Family
IPR010116	Anthranilate synthase component I, archaeal type	Family
IPR010117	Para-aminobenzoate synthase	Family
IPR010118	Para-aminobenzoate synthase/anthranilate synthase, component I	Family
IPR010119	Uncharacterised protein family UPF0052	Family
IPR010120	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase, subunit C, putative	Family
IPR010121	Pyruvate, phosphate dikinase	Family
IPR010122	Hydroxymethylglutaryl-CoA synthase, eukaryotic	Family
IPR010123	Poly(R)-hydroxyalkanoic acid synthase, class III, PhaE subunit	Family
IPR010125	Poly(R)-hydroxyalkanoic acid synthase, class III, PhaC subunit	Family
IPR010126	Esterase, PHB depolymerase	Family
IPR010127	Phasin, subfamily 1	Family
IPR010128	ATPase, type I secretion system, PrtD	Family
IPR010129	Type I secretion membrane fusion protein, HlyD	Family
IPR010130	Type I secretion outer membrane protein, TolC	Family
IPR010131	RND efflux system, outer membrane lipoprotein, NodT	Family
IPR010132	ATPase, type I secretion system, HlyB	Domain
IPR010133	Bacteriocin-type signal sequence	Conserved_site
IPR010134	Polyhydroxyalkanoate synthesis repressor PhaR	Family
IPR010136	N-acetyl-gamma-glutamyl-phosphate reductase, type 2	Family
IPR010137	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	Family
IPR010138	UDP-2,3-diacylglucosamine hydrolase	Family
IPR010139	Imidazole glycerol phosphate synthase, subunit H	Family
IPR010140	Histidinol phosphate phosphatase, HisJ	Family
IPR010141	Phosphoribosylformylglycinamidine synthase, FGAM	Family
IPR010142	Nitrogenase vanadium-iron protein, alpha chain	Family
IPR010143	Nitrogenase component 1, alpha chain	Family
IPR010144	CRISPR-associated protein, Csd1-type	Family
IPR010145	CRISPR-associated protein, SAG0894	Family
IPR010146	CRISPR-associated protein, Csn2-type	Family
IPR010147	CRISPR-associated protein, CasD	Family
IPR010148	CRISPR-associated protein, CT1975	Family
IPR010149	CRISPR-associated protein, TM1810 C-terminal	Domain
IPR010152	CRISPR-associated protein Cas2 subtype	Family
IPR010153	CRISPR-associated protein, Cas5a type	Family
IPR010154	CRISPR-associated protein Cas7	Family
IPR010155	CRISPR-associated protein, Cas5d-type	Family
IPR010156	CRISPR-associated protein, Cas6	Family
IPR010157	CRISPR-associated protein, PAB1685	Family
IPR010158	Amidase, hydantoinase/carbamoylase	Family
IPR010159	N-acyl-L-amino-acid amidohydrolase	Family
IPR010160	CRISPR-associated protein, Cmr5	Family
IPR010161	Peptidase M20B, tripeptide aminopeptidase	Family
IPR010162	Peptidase M20B, peptidase T	Family
IPR010163	CRISPR locus-related DNA-binding	Family
IPR010164	Ornithine aminotransferase	Family
IPR010165	CRISPR-associated protein, TM1793	Family
IPR010166	Accessory regulator, Staphylococcus	Domain
IPR010167	Amino-acid N-acetyltransferase (ArgA)	Family
IPR010169	Acetylornithine deacetylase (ArgE)	Family
IPR010171	CRISPR-associated protein, MJ1666	Family
IPR010172	CRISPR-associated protein, TM1791	Family
IPR010173	CRISPR-associated protein, TM1807	Family
IPR010174	Succinyl-diaminopimelate desuccinylase, DapE	Family
IPR005098	Domain of unknown function DUF281	Domain
IPR005099	Pneumovirus NS1 protein	Family
IPR005100	Transcription elongation factor Spt5, NGN domain	Domain
IPR005101	DNA photolyase, FAD-binding/Cryptochrome, C-terminal	Domain
IPR005102	Carbohydrate binding  X2 domain	Domain
IPR005103	Glycoside hydrolase, family 61	Family
IPR005104	Winged helix-turn-helix transcription repressor, HrcA DNA-binding domain	Domain
IPR005105	Protein-PII uridylyltransferase, N-terminal	Domain
IPR005106	Aspartate/homoserine dehydrogenase, NAD-binding	Domain
IPR005107	CO dehydrogenase flavoprotein, C-terminal	Domain
IPR005108	HELP	Domain
IPR005109	Anp1	Family
IPR005110	MoeA, N-terminal and linker domain	Domain
IPR005111	MoeA, C-terminal, domain IV	Domain
IPR005112	dDENN domain	Domain
IPR005113	uDENN domain	Domain
IPR005114	Helicase-associated	Domain
IPR005115	Uncharacterised domain UPF0126	Domain
IPR005116	Transport-associated OB, type 1	Domain
IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain	Domain
IPR005118	Transcription-repair-coupling factor domain	Domain
IPR005119	LysR, substrate-binding	Domain
IPR005120	Regulator of nonsense-mediated decay, UPF3	Domain
IPR005215	Trigger factor	Family
IPR005216	Citrate lyase ligase	Family
IPR011075	Tetracycline transcriptional regulator, TetR-related, C-terminal	Domain
IPR011076	Malate synthase-like	Domain
IPR011081	Bacterial Ig-related	Domain
IPR011082	Exosome-associated factor Rrp47/DNA strand repair C1D	Family
IPR011083	Phage tail collar domain	Domain
IPR011628	Cleaved adhesin	Domain
IPR011629	Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal	Domain
IPR011630	Clostridium phage phiCTP1, Gp74	Domain
IPR011631	Protein of unknown function DUF1600	Family
IPR011632	Domain of unknown function DUF1601	Domain
IPR011633	Protein of unknown function DUF1602	Family
IPR023252	Aurora borealis protein	Family
IPR011635	APHP	Domain
IPR011636	Thiosulphate:quinone oxidoreductase small subunit DoxA	Domain
IPR011637	Uncharacterised protein family YphA	Family
IPR011638	Sorbitol phosphotransferase enzyme II, C-terminal	Domain
IPR011639	Restriction modification methylase Eco57I	Domain
IPR011640	Ferrous iron transport protein B, C-terminal	Domain
IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like	Domain
IPR011642	Nucleoside recognition Gate	Domain
IPR011643	High-CO2 inducible periplasmic	Family
IPR011644	Heme-NO binding	Domain
IPR011645	Haem NO binding associated	Domain
IPR011646	KAP P-loop	Domain
IPR011648	Circadian clock protein KaiA	Family
IPR011649	KaiB domain	Domain
IPR011650	Peptidase M20, dimerisation domain	Domain
IPR011651	Notch ligand, N-terminal	Domain
IPR011652	MORN variant	Repeat
IPR011653	Lipoprotein protein 35	Family
IPR024735	Conjugative transposon protein TcpC	Family
IPR011655	M penetrans paralogue 26	Family
IPR011656	Notch, NODP domain	Domain
IPR011657	Na dependent nucleoside transporter, C-terminal	Domain
IPR011658	PA14	Domain
IPR011659	WD40-like Beta Propeller	Repeat
IPR011660	Rv0623-like transcription factor	Family
IPR011661	Sulphur oxygenase reductase	Family
IPR011662	Secretin/TonB, short N-terminal	Domain
IPR011663	UbiC transcription regulator-associated	Domain
IPR011664	Abortive infection system protein AbiD/AbiF-like	Family
IPR011665	Brf1-like TBP-binding	Domain
IPR011666	Domain of unknown function DUF1604	Domain
IPR011667	Uncharacterised protein family UPF0329	Family
IPR011668	Domain of unknown function DUF1610	Domain
IPR011669	Protein of unknown function DUF1611	Family
IPR011670	Protein of unknown function DUF1612	Family
IPR011671	tRNA (uracil-O(2)-)-methyltransferase	Family
IPR011672	Protein of unknown function DUF1614	Family
IPR011673	Protein of unknown function DUF1615	Family
IPR011674	Domain of unknown function DUF1616	Domain
IPR011675	Protein of unknown function DUF1617	Family
IPR011676	Domain of unknown function DUF1618	Domain
IPR011677	Domain of unknown function DUF1619	Domain
IPR011678	Domain of unknown function DUF1620	Domain
IPR011679	Endoplasmic reticulum, protein ERp29, C-terminal	Domain
IPR011680	Fasciculation and elongation protein zeta, FEZ	Family
IPR011681	GcrA cell cycle regulator	Family
IPR011682	Glycosyl hydrolase family 38, C-terminal	Domain
IPR011683	Glycosyl hydrolase family 53	Domain
IPR011684	KIP1-like	Domain
IPR011685	LETM1-like	Domain
IPR011686	Omega transcriptional repressor	Family
IPR011687	P60-like	Family
IPR011688	PVL Orf50 family	Family
IPR011689	PaRep2b	Domain
IPR011690	Phosphate-starvation-induced PsiF repeat	Repeat
IPR011691	Vesicle transport protein, SFT2-like	Family
IPR011692	Stress up-regulated Nod 19	Family
IPR011694	Tick salivary peptide group 1	Family
IPR011695	Tash protein, PEST motif	Conserved_site
IPR011696	Ion channel inhibitory toxin	Family
IPR011767	Glutaredoxin active site	Active_site
IPR011770	Dihydrodipicolinate reductase, bacterial/plant	Family
IPR010765	Protein of unknown function DUF1350	Family
IPR010766	DRTGG	Domain
IPR010767	Campylobacter phage CGC-2007, Cje0229	Family
IPR010768	Domain of unknown function DUF1355	Domain
IPR010769	Ribosomal RNA aminoglycoside-resistance methyltransferase, Gram-negative bacteria	Family
IPR010770	SGT1	Family
IPR010771	Intracellular growth attenuator IgaA	Family
IPR010772	Protein of unknown function DUF1359	Family
IPR010773	Mycobacterium phage PG1, Gp7	Family
IPR010774	Protein of unknown function DUF1364	Family
IPR010775	Protein of unknown function DUF1365	Family
IPR010776	Tat binding protein 1-interacting	Family
IPR010777	PipA	Family
IPR010778	Protein of unknown function DUF1368	Family
IPR010779	Streptococcus phage Sfi11, Gp93	Family
IPR010780	Protein of unknown function DUF1375	Family
IPR010781	Bacteriophage PBC5, Orf49	Family
IPR010784	Merozoite surface protein-type	Family
IPR010785	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18	Family
IPR010787	Protein of unknown function DUF1385	Family
IPR010788	Violaxanthin de-epoxidase	Domain
IPR010789	Bacteriophage 712, Gp1	Family
IPR010790	Protein of unknown function DUF1388	Repeat
IPR010791	Hydroxyneurosporene synthase	Family
IPR010792	Protein of unknown function DUF1389	Family
IPR010793	Ribosomal protein L37/S30	Family
IPR010794	Maltose operon periplasmic	Family
IPR010795	Prenylcysteine lyase	Domain
IPR010796	B9 domain	Family
IPR010797	Pex26	Family
IPR010798	Triadin	Family
IPR010799	Microcystin LR degradation protein MlrC, C-terminal	Domain
IPR010800	Glycine rich protein	Family
IPR010801	Fibronectin-attachment	Family
IPR010802	Domain of unknown function DUF1400	Domain
IPR010803	Citrus tristeza virus P33	Family
IPR010805	Kaposi s sarcoma-associated herpesvirus K8	Family
IPR010806	Poxvirus, TNF receptor-II, C-terminal	Domain
IPR010807	Protein of unknown function DUF1407	Family
IPR010808	Signal transduction histidine kinase, P2 response regulator-binding	Domain
IPR010809	Flagellar hook-associated 2, C-terminal	Domain
IPR010810	Flagellin hook, IN motif	Conserved_site
IPR010811	Domain of unknown function DUF1409	Domain
IPR010812	Hypersensitivity response secretion-like, HrpJ	Domain
IPR010813	Protein of unknown function DUF1413	Family
IPR010814	Protein of unknown function DUF1416	Family
IPR010815	Protein of unknown function DUF1418	Family
IPR010816	Heterokaryon incompatibility Het-C	Family
IPR010817	HemY, N-terminal	Domain
IPR010818	Protein of unknown function DUF1420	Family
IPR010819	N-acylglucosamine 2-epimerase	Family
IPR010820	Protein of unknown function DUF1421	Family
IPR010821	Chlorophyllase	Family
IPR010823	Structural protein of head Gp20	Family
IPR010824	Protein of unknown function DUF1425	Family
IPR011233	Tellurite/Phi/PacB toxicity protection, TerW	Family
IPR011235	Uncharacterised conserved protein UCP032285	Family
IPR011236	Serine/threonine protein phosphatase 5	Family
IPR011577	Cytochrome b561, bacterial/Ni-hydrogenase	Domain
IPR011238	Polyhedral organelle shell protein PduT	Family
IPR011239	Phosphoesterase cyanobacterial, all2852	Family
IPR011240	Phosphoesterase-related protein YunD	Family
IPR011241	NAGK-NAGSA, bifunctional	Family
IPR011242	N-acetylglutamate kinase, DUF619 domain-containing	Family
IPR011243	N-acetylglutamate synthase, animal	Family
IPR011244	Bifunctional argininosuccinate lyase/acetyltransferase	Family
IPR011245	Butyrate kinase	Family
IPR011246	Bifunctional diaminopimelate decarboxylase/aspartate kinase	Family
IPR011247	Chemotaxis protein-glutamate methylesterase	Family
IPR011248	Serine/alanine racemase	Family
IPR011618	Sorbitol phosphotransferase enzyme II, N-terminal	Domain
IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP-binding	Domain
